iter	Passed	Remaining
0	0	50
1	0	46
2	1	46
3	1	41
4	2	40
5	2	39
6	2	39
7	3	39
8	3	38
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	33
22	9	32
23	10	32
24	10	31
25	10	31
26	11	30
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	14	28
33	14	28
34	14	27
35	15	27
36	15	27
37	16	26
38	16	26
39	17	26
40	18	26
41	18	25
42	19	25
43	19	24
44	20	24
45	20	24
46	21	24
47	22	23
48	22	23
49	23	23
50	23	22
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	18
63	31	17
64	32	17
65	32	16
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	37	13
73	37	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	46	6
88	46	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
